TP_TCP_DOWN TP_TCP_UP RTT LOSS_DOWN LOSS_UP JITTER_DOWN JITTER_UP
989777.931962 16900325.02355 0.073745 0 0 0.001108 0.005843
31807088.245017 11765314.386854 0.052552 0 0 0.001713 0.007555
29263714.521268 297544.368212 0.060679 0 0 0.000899 0.005307
25267272.572034 5017715.316686 0.046721 0 0 0.001715 0.002327
1314221.529605 14040047.648733 0.070774 2 0 0.00101 0.007407
36337837.981677 11966080.647711 0.051495 0 0 0.001216 0.012518
78936877.729506 34151840.196225 0.061421 0 0 0.00134 0.009608
36769244.610616 1927310.94729 0.079388 0 0 0.030884 0.008771
6650964.285285 13136503.323317 0.07007 0 0 0.000467 0.006694
27930303.671681 12578947.010069 0.075991 0 0 0.007058 0.00968
22783423.976019 1042963.331134 0.062232 0 0 0.00103 0.005238
12621188.869897 13971174.880739 0.084238 0 0 0.000677 0.022729
42359767.629741 12857475.090513 0.054588 0 0 0.000931 0.003821
3775570.375322 17537723.373164 0.075365 0 0 0.000892 0.013068
29188386.660822 474480.760281 0.06346 0 0 0.001077 0.008517
1394996.020858 4266229.570852 0.079874 2 0 0.002838 0.010051
43070829.807939 9857472.093961 0.047926 0 0 0.001047 0.004297
25199456.590165 492857.072547 0.06184 0 0 0.000544 0.005686
1220980.406737 4866950.633093 0.079873 0 0 0.004624 0.007648
1266117.963681 13047912.341003 0.069671 4 0 0.001175 0.00643
1068067.347256 5321588.705471 0.078737 0 0 0.003673 0.007761
2259397.40557 14930731.960816 0.071449 0 0 0.000654 0.026519
38860482.33948 29427059.175366 0.040267 0 0 0.002366 0.004795
42131917.232012 29151570.431024 0.040387 0 0 0.002228 0.005967
22279962.548183 1057870.039568 0.064247 0 0 0.001404 0.004796
4975493.368378 16727197.003392 0.07047 2 0 0.001354 0.008247
24288570.493091 1160937.562883 0.063361 0 0 0.002009 0.004104
5716125.421912 15824099.005643 0.06912 0 0 0.0013 0.006356
32710080.608645 706068.18646 0.06295 0 0 0.000529 0.006895
5519720.488086 14588255.679263 0.068946 0 0 0.000468 0.004787
25059270.829907 11499311.395913 0.051873 0 0 0.003689 0.004211
69110458.711109 18350474.082848 0.093742 0 0 0.003315 0.003814
3009173.509234 14367555.70206 0.072646 0 0 0.000857 0.006229
10933023.481814 5862843.835818 0.049863 0 0 0.001079 0.012155
20225547.359301 952149.632513 0.063629 0 0 0.003472 0.00381
2505264.814611 17654818.478551 0.070107 0 0 0.000386 0.005196
1034374.224073 12162630.955567 0.070769 2 0 0.00135 0.005831
1054643.368974 6380978.416345 0.077323 6 0 0.004762 0.00664
1441396.676003 7133174.872673 0.071022 2 0 0.001776 0.00829
26262618.641207 857126.767853 0.060999 0 0 0.000767 0.004917
2465092.707829 15648451.372845 0.071015 2 0 0.000513 0.007687
27030312.520139 10259480.166395 0.038685 0 0 0.00109 0.003838
32790722.707584 1162332.082172 0.080208 0 0 0.025463 0.012532
94217832.25171 16218505.665916 0.092011 0 0 0.004286 0.009206
18123538.487309 38266575.626177 0.039691 0 0 0.001511 0.004512
20511503.136638 6801562.720378 0.052261 0 0 0.001377 0.004812
23491611.725453 30926551.756761 0.041386 0 0 0.002134 0.004834
18091854.894462 1094395.893509 0.063768 0 0 0.000893 0.005606
5092377.976323 15119896.920852 0.070873 0 0 0.000716 0.005142
5149287.022071 18645137.497969 0.069034 0 0 0.001259 0.006374
36714442.585529 9668019.987586 0.065236 0 0 0.001171 0.005022
3796022.517275 1209396.330325 0.078854 0 0 0.004667 0.007874
19257998.302561 11045532.395937 0.05021 0 0 0.001539 0.011634
13177241.700144 277584.706534 0.07069 0 0 0.00141 0.019121
5109447.423596 18645182.852322 0.071159 0 0 0.00068 0.009547
3723952.642499 23299539.985714 0.070163 0 0 0.001571 0.005455
2359675.836279 28601494.200725 0.070239 0 0 0.000948 0.005377
32624607.908171 3315581.553072 0.066147 0 0 0.007814 0.022058
13472702.324017 1429098.50394 0.13654 0 0 0.083064 0.011279
66119969.400146 27106147.617415 0.095845 0 4 0.003744 0.005315
6525135.431129 1488214.380599 0.271419 0 0 0.15864 0.01406
1878761.402702 95293.061129 0.079148 0 0 0.000674 0.03454
16438160.937922 7929466.007563 0.098672 0 0 0.002773 0.007843
20660305.786047 1475449.996388 0.063237 0 0 0.000689 0.005569
10752060.806725 2716356.438635 0.067504 0 0 0.007705 0.005158
19551925.016776 11422787.546739 0.081227 0 0 0.007041 0.006938
14423158.297326 18163698.63184 0.072696 0 0 0.00044 0.008832
14715698.231168 1988744.743339 0.108178 0 0 0.066112 0.015755
20193983.956822 11068202.96654 0.052254 0 0 0.001784 0.022863
5985342.68577 14147884.103959 0.070706 0 0 0.000518 0.005578
6976727.88524 15250790.83742 0.11229 0 0 0.000549 0.002644
4851874.913701 5524423.709046 0.080076 0 0 0.004967 0.010209
4821609.039875 1425522.879054 0.168118 0 0 0.11547 0.010161
24634849.459702 1447640.44077 0.799601 3 0 0 0.001513
17583098.398328 2243528.043264 0.05855 0 0 0.001901 0.010074
11180563.875421 2334716.123996 0.060343 0 0 0.007076 0.012314
5604679.608835 16838372.912046 0.136054 2 0 0.006734 0.006729
10416837.678428 4083793.770044 0.084559 0 0 0.001175 0.004685
2638587.226963 279950.840069 0.071711 0 0 0.001914 0.004159
21268056.545632 1485619.842116 0.172085 0 0 0.108146 0.001197
3441241.833809 12415118.957089 0.106223 3 0 0 0.000413
22788022.231013 17896284.405452 0.134768 0 0 0.019428 0.051633
74451321.215053 17808798.396199 0.098329 0 0 0.00293 0.011747
2600001.876448 10278239.527382 0.230614 0 0 0.155989 0.011613
8493517.624772 15720326.109635 0.070473 0 0 0.000784 0.003823
13206111.306543 1216700.146368 0.324468 0 0 0.039801 0.017288
18553629.293914 15862446.774624 0.24463 0 0 0.112661 0.019562
27594651.122614 13172107.027377 0.08886 0 0 0.01588 0.005454
25229309.714146 1394870.406213 0.048785 0 0 0.001245 0.000653
10313556.463081 13614730.105498 0.138382 0 0 0.014472 0.00075
13204737.780366 27168030.028129 0.04149 0 0 0.002915 0.004168
29835527.135164 19590344.906907 0.072858 0 0 0.000687 0.005622
14451101.023993 1693988.066687 0.051616 0 0 0.00103 0.001053
32560344.108795 2354535.261714 0.044914 0 0 0.001265 0.003237
38120671.77517 15192230.247029 0.075427 0 0 0.000631 0.018165
19143009.653117 15081141.209263 0.069646 0 0 0.000624 0.006037
14711730.508227 23917649.924196 0.111248 0 0 0.001396 0.000618
11888947.374636 874893.415972 0.093967 0 0 0.023924 0.024774
15979216.201285 15705637.122748 0.137722 0 0 0.040192 0.018617
11145880.979712 15605744.04264 0.098745 0 0 0.000871 0.005009
4403628.513996 2286048.81759 0.079028 0 0 0.005256 0.008428
19420168.285738 1415922.49155 0.061857 0 0 0.001181 0.007495
27545081.87448 12722066.907284 0.054734 0 0 0.001296 0.005108
19759641.819903 7126642.251061 0.16682 0 0 0.001124 0.005342
23602158.812836 3564277.987298 0.074032 0 0 0.004711 0.010226
14812894.57407 15232650.673984 0.072765 0 0 0.000546 0.009697
9662217.698701 28881853.202223 0.06862 0 0 0.001523 0.004943
63174573.362959 14211999.712208 0.054183 0 0 0.008678 0.006863
11148768.867689 1283428.545419 0.088148 0 0 0.000515 0.005068
72672787.928272 10972164.466191 0.055795 0 0 0.003899 0.009123
20294739.901964 11529416.781229 0.173446 0 0 0.152154 0.001406
15438476.498518 16440420.804986 0.177423 0 0 0.039379 0.009001
14050952.765844 696803.215902 0.082435 0 0 0.00115 0.005956
13201540.263439 957968.342228 0.250602 0 0 0.040154 0.010499
25545822.426578 1459459.758095 0.069841 0 0 0.000278 0.006123
19822813.708538 29234222.811925 0.041407 0 0 0.003512 0.004316
18431593.95584 3642577.506098 0.080832 0 0 0.004475 0.001126
3605932.55015 221315.141864 0.164929 0 0 0.010179 0.0153
7703647.813543 1562237.561378 0.087697 0 0 0.000705 0.00842
4461446.028981 15645063.314146 0.135736 0 0 0.036426 0.010652
13156949.963706 719715.777146 0.209333 0 0 0.040719 0.011139
19594253.465806 37804484.085365 0.071558 0 0 0.001071 0.0063
21409786.059634 17086457.683267 0.159811 0 0 0.056515 0.019663
81050642.803739 37874493.648653 0.054886 0 0 0.002567 0.003957
22194555.150255 1477773.851051 0.071168 0 0 0.000958 0.012883
18815996.060453 820190.944355 0.132575 0 0 0.101336 0.004491
3429507.191648 605315.256619 0.078118 0 0 0.003817 0.004922
19031087.049502 25763382.31273 0.041545 0 0 0.002432 0.004165
16626053.146063 25030639.716425 0.047242 0 0 0.002547 0.005795
6464689.949733 958407.484779 0.08576 0 0 0.014036 0.014682
14564987.974108 9313094.702531 0.096149 0 4 0.003134 0.00672
6434052.386107 3013103.771013 0.174068 0 0 0.006076 0.035475
15359350.702084 4353621.391441 0.096474 0 0 0.000762 0.000402
11486852.90891 728518.518808 0.112606 0 0 0.040894 0.016623
17764754.895576 17430983.378206 0.076116 0 0 0.000711 0.007539
21878795.162671 1451176.524092 0.04867 0 0 0.003096 0.005471
3869599.802657 3281586.521878 0.188927 0 0 0.114689 0.013745
48579545.785395 16455761.464654 0.040679 0 0 0.002298 0.005176
23509959.103319 8322026.330089 0.064811 0 0 0.002434 0.00512
10185035.127066 2204361.786774 0.063174 0 0 0.008761 0.009376
18046202.879998 14845242.92336 0.074856 0 0 0.00052 0.007208
8322850.898817 3648393.370897 0.101282 0 0 0.000532 0.021667
14400787.333403 874649.394598 0.144222 0 0 0.092639 0.005827
13461979.622893 13873512.242217 0.178098 0 0 0.144318 0.012811
5175800.610528 15530748.026967 0.187281 0 0 0.159654 0.012053
57716866.076675 33615823.976614 0.049895 0 0 0.001384 0.006367
17413652.11723 14660592.580135 0.071943 0 0 0.00176 0.006429
46384708.166481 15677339.746773 0.041697 0 0 0.002445 0.01025
27437762.301536 1447576.051988 0.052063 0 0 0.000857 0.006065
19133343.620726 2043699.021139 0.082312 0 0 0.004191 0.001125
8469364.953728 304412.508232 0.08206 0 0 0.001769 0.010952
24729481.540051 23398279.849303 0.040207 0 0 0.00138 0.00573
33897253.168926 11185025.095097 0.095419 0 0 0.007536 0.005383
4643237.485894 877780.60023 0.263556 0 0 0.160263 0.001307
15252743.063671 1883827.594761 0.096209 0 0 0.000751 0.003738
7446798.290591 4881329.885684 0.089258 0 0 0.000522 0.000474
2255653.124709 12684282.640992 0.366635 0 0 0.040104 0.019954
20876752.730342 1427554.494734 0.066609 0 0 0.000733 0.004919
36566506.671772 10819248.541431 0.108252 0 0 0.001373 0.000991
25929074.487536 15677161.407657 0.042734 0 0 0.002366 0.005693
14969734.722707 529940.518308 0.073577 0 0 0.003271 0.004981
19125741.132388 10930940.540587 0.080192 0 0 0.005132 0.013491
18423202.243609 2983176.449262 0.077908 0 0 0.002105 0.006384
4300287.543907 17214855.249271 0.261083 0 0 0.157896 0.002433
32315976.321718 12924427.512395 0.056388 0 0 0.001601 0.006145
21622105.586991 16939833.692329 0.327573 0 0 0.062838 0.020561
15791417.764286 1123405.988472 0.11816 0 0 0.000735 0.010415
26196768.201349 33561111.743745 0.055363 0 0 0.001156 0.005582
5179640.739899 859080.947049 0.14079 0 0 0.086649 0.005711
18234966.400337 7979180.640918 0.125189 0 0 0.000559 0.005037
22962758.86194 1465142.119298 0.078877 0 0 0.000896 0.003904
37006748.820952 10446162.506698 0.048365 0 0 0.001334 0.008972
16074228.141689 741936.64458 0.063568 0 0 0.001966 0.007112
13122913.887973 8173425.034237 0.052702 0 0 0.002396 0.002796
13239702.898971 1801315.240104 0.070207 0 0 0.008906 0.000763
17882721.137345 13509870.379554 0.074961 0 0 0.000474 0.024906
32501544.284675 8832068.882122 0.053251 0 0 0.002059 0.007677
9738703.56656 1393976.708659 0.079086 0 0 0.001099 0.0245
5529880.786968 2285792.516235 0.16362 0 0 0.154907 0.011377
8029258.231581 1944869.532951 0.054356 0 0 0.00485 0.006293
14179743.511635 9312143.390794 0.106242 0 0 0.023438 0.000982
27579070.992294 2175094.566966 0.080484 0 0 0.012952 0.024388
1966896.795834 14997557.532443 0.148717 0 0 0.043821 0.000884
4936262.510429 433878.496957 0.081785 0 0 0.000421 0.003909
27776248.65089 1433436.951144 0.058262 0 0 0.000804 0.003669
17820284.46431 2243765.434646 0.051774 0 0 0.001808 0.000853
17175575.129958 1908519.046153 0.046633 0 0 0.004053 0.006398
9886953.251231 249850.491317 0.088606 0 0 0.002772 0.019005
16095511.476279 9298156.918671 0.069098 0 0 0.000411 0.012168
3969040.541735 12431765.259746 0.217947 0 0 0.041027 0.001002
9414781.418581 962672.857869 0.214018 0 0 0.039711 0.01592
19370446.81377 8507379.656044 0.09251 0 0 0.003006 0.000307
19684851.2689 1630498.397924 0.076323 0 0 0.000824 0.004033
21524305.157465 7653212.260766 0.044316 0 0 0.001645 0.019359
2241866.788144 82344.439919 0.323253 4 3 0.003473 0.053318
11439652.091329 1292975.707401 0.052657 0 0 0.004445 0.001951
41695067.798765 29069779.299862 0.071612 0 0 0.002429 0.005179
46241017.470576 4822338.310947 0.189084 0 0 0.014204 0.026647
19614125.964036 2234275.530763 0.106548 0 0 0.033112 0.003487
6372562.397303 1492328.958572 0.119655 0 0 0.03967 0.016039
2853361.09166 12870358.552687 0.147648 0 0 0.041687 0.011016
17824448.075046 13644940.7466 0.136984 0 0 0.036472 0.029506
26611142.951117 1473570.637818 0.065445 0 0 0.001641 0.00068
6003735.552042 5174961.92878 0.31593 0 0 0.400757 0.000647
4879220.155128 854636.167247 0.070126 0 0 0.003804 0.01346
10565953.455709 2416947.460508 0.0517 0 0 0.002347 0.001427
17609022.439844 3333997.260989 0.126603 0 0 0.00496 0.005448
3188465.218578 16848643.625929 0.265635 0 0 0.160387 0.01172
3272177.206046 1452170.385683 0.13273 0 0 0.040548 0.016034
19205978.429327 1449841.80607 0.049099 0 0 0.004516 0.003901
28307817.147443 10266425.470311 0.071914 0 0 0.000548 0.004558
15200862.9142 28633133.88523 0.041814 0 0 0.001433 0.004787
52259217.325656 6920665.712048 0.058368 0 0 0.001092 0.008051
3689373.074057 15431505.288587 0.10715 0 0 0.037625 0.012157
4976978.180976 1173885.515542 0.239953 0 0 0.161158 0.021622
26574577.214265 1444911.68211 0.069828 0 0 0.001267 0.00573
27156019.466698 16663795.17938 0.041361 0 0 0.002829 0.007028
8478904.797745 1554932.0515 0.091729 0 0 0.001166 0.005621
6720100.130793 11354434.7433 0.046007 0 0 0.0024 0.006987
41769533.486258 10069532.319629 0.055398 0 0 0.000853 0.00877
18975906.00067 8775282.6601 0.084682 0 0 0.000982 0.028653
4220391.949112 14227086.401522 0.235187 0 0 0.038795 0.012446
13151624.387547 1359988.976441 0.205277 0 0 0.133128 0.017428
23099031.143039 760939.937 0.077083 0 0 0.002326 0.024834
27816524.773315 1439762.182231 0.068596 0 0 0.001124 0.003255
3044868.608115 87281.213985 0.113764 2 0 0.007762 0.014879
13673373.145167 20902092.290585 0.069861 0 0 0.001206 0.005717
15135493.247196 257866.565698 0.139856 0 0 0.003161 0.013663
4149864.434857 1123390.286074 0.314647 0 0 0.040657 0.011147
13810711.460768 3559629.61285 0.115938 4 2 0.022147 0.026848
24959456.748173 1478340.364588 0.047595 0 0 0.000733 0.006743
8252565.98595 14924520.034518 0.044846 0 0 0.002626 0.005592
15838367.278021 11120496.628198 0.083403 0 0 0.005921 0.007358
9215051.723876 2898500.638069 0.084072 0 0 0.000356 0.003573
52817689.419669 14469687.08972 0.067414 0 0 0.002995 0.009017
13851407.544825 2388574.706368 0.117744 0 0 0.076239 0.010115
6031344.663795 13863261.759455 0.178367 0 0 0.156635 0.012064
9371789.173227 415492.677895 0.061099 0 0 0.00168 0.006028
26613105.782186 1462482.13274 0.054232 0 0 0.008711 0.001171
19395494.71949 24220046.929227 0.151935 0 0 0.002817 0.005062
35091594.222678 13885129.655376 0.056047 0 0 0.002012 0.00504
27967183.487769 7024595.930804 0.044458 0 0 0.001249 0.002276
17147262.105261 10809518.834436 0.049392 0 2 0.007587 0.00577
13453291.632322 3167910.413581 0.111132 0 0 0.040455 0.015192
10413731.374849 4797421.231658 0.065222 0 0 0.019991 0.010822
4872089.454067 16141572.549222 0.254483 0 0 0.199025 0.010358
23446749.440344 1515863.553362 0.081492 0 0 0.081951 0.006522
7455934.507796 9116311.28445 0.045867 0 0 0.002273 0.006863
8803687.402497 2011446.926329 0.087564 0 0 0.00137 0.000868
34242311.50574 12216017.954986 0.075046 0 0 0.000463 0.008659
54396581.483495 35883078.411777 0.052379 0 0 0.001158 0.004451
13634851.468617 3193307.829399 0.201827 0 0 0.161464 0.02419
4447896.575247 12671497.981585 0.208758 0 0 0.040072 0.010682
8042679.725334 2987824.128507 0.078415 0 0 0.005766 0.009208
27690330.182501 1410043.783639 0.053284 0 0 0.000813 0.008315
10608617.264513 4303783.461297 0.079038 0 0 0.00362 0.008605
10892309.555776 9677489.288924 0.11425 0 0 0.005155 0.004529
3554413.452311 7833700.307297 0.047035 0 0 0.003078 0.006654
4549067.541201 40047.036115 0.073478 0 0 0.003631 0.006996
4879576.472742 264315.2468 0.084628 0 0 0.001408 0.017882
30281417.751902 9933289.304494 0.056309 0 0 0.001392 0.021167
37578650.468018 10033186.719861 0.07021 0 0 0.001047 0.019271
8434557.506048 26181532.570982 0.041831 0 0 0.002703 0.004372
3431758.577931 84751.071768 0.10018 0 0 0.003173 0.052062
50370977.404052 11406126.539111 0.183437 0 0 0.013728 0.011513
18036670.530093 1295459.862894 0.075653 0 0 0.002324 0.012025
9095483.546154 17647102.630015 0.050118 0 0 0.002757 0.008666
4944559.813415 911109.520952 0.105487 0 0 0.024245 0.016679
10680040.178052 3701120.634771 0.075608 0 0 0.002322 0.002446
30888972.438367 8230784.74879 0.050014 0 0 0.001268 0.015477
38652630.963662 21023015.39468 0.056532 0 0 0.001291 0.004596
25336554.251403 635968.936551 0.063084 0 0 0.001848 0.007326
25236210.529157 20923439.482945 0.041619 0 0 0.002257 0.005795
16503643.718735 490307.886635 0.095362 0 0 0.004872 0.020068
26401947.842211 10505828.72473 0.056204 0 0 0.000464 0.01262
14739016.394322 451728.337838 0.04817 0 0 0.002346 0.012237
15860951.089409 9779862.678059 0.076106 0 0 0.005159 0.007225
22189573.16094 1631184.998244 0.077424 0 0 0.00132 0.005521
22853214.183456 7795576.733108 0.057628 0 0 0.001469 0.004183
527818.496661 734539.530052 0.210427 2 0 0.004436 0.013492
19805227.753979 1231121.556955 0.065925 0 0 0.00204 0.005061
28622027.73871 11483828.659793 0.067053 0 0 0.001119 0.024341
13589771.270394 9903152.918318 0.073085 0 0 0.001752 0.005196
12369238.131022 706258.138653 0.074269 0 0 0.002611 0.005836
16937273.387801 566703.851778 0.06508 0 0 0.000914 0.019327
19977653.963638 2339815.18589 0.05932 0 0 0.001598 0.005225
1839765.241514 2331475.714918 0.084159 0 0 0.006565 0.015584
524773.62437 2301803.376778 0.203577 6 0 0.004363 0.012355
26458253.317577 1354122.66703 0.081927 0 0 0.001685 0.003177
14465365.917277 10745261.024806 0.070223 0 0 0.000685 0.067548
41859218.131645 5437401.844186 0.058786 0 0 0.001864 0.0042
10463699.274741 854275.714989 0.061591 0 0 0.00253 0.005783
36914739.237174 11939928.060501 0.050203 0 0 0.002079 0.0098
10078370.536834 21409231.248158 0.038881 0 0 0.002238 0.003081
51336266.87053 7465792.255682 0.04368 0 0 0.001378 0.004816
6819186.032587 2675115.732287 0.076754 0 0 0.002375 0.005
34435082.023389 14127210.792963 0.056047 2 0 0.011076 0.010199
10420146.681443 8944991.794897 0.059221 0 0 0.002469 0.005923
20228919.178831 15589482.375229 0.074317 0 0 0.001004 0.014926
16082581.088706 7610730.00073 0.040599 0 0 0.002594 0.004565
6539286.811705 428503.469013 0.054103 0 0 0.003263 0.006096
14721891.236083 607544.510395 0.062065 0 0 0.002143 0.00441
18879565.389179 15589262.626879 0.077724 0 0 0.000677 0.009304
14977340.385021 10539573.925422 0.072054 0 0 0.001745 0.005208
13816703.19345 2519897.112744 0.075719 0 0 0.00087 0.006199
15448846.554332 16153964.868963 0.054616 0 0 0.001584 0.005372
50196725.327982 11537729.359277 0.050251 0 0 0.001054 0.01304
14320798.496007 7844761.927573 0.049987 0 0 0.004622 0.003805
14902748.09071 619177.236622 0.065647 0 0 0.002563 0.005665
18429522.996083 11584266.33962 0.074309 0 0 0.000543 0.005717
18489063.961822 30105492.400774 0.129134 0 0 0.002417 0.005543
2868033.203019 1345987.525049 0.064567 0 0 0.004037 0.007709
20086861.283649 10732095.570153 0.093341 0 0 0.000473 0.009206
9108829.551408 6484151.309776 0.046295 0 0 0.014532 0.005987
17313774.008608 657929.872406 0.065378 0 0 0.001807 0.002957
16066919.580793 620664.179351 0.06386 0 0 0.002062 0.005333
11029613.684259 19263657.923204 0.051061 0 0 0.001617 0.004366
19003609.882644 11225294.711528 0.07182 0 0 0.000959 0.013907
23180588.166513 7761969.206114 0.090294 0 0 0.001024 0.036347
19859032.178158 27164222.785649 0.054071 0 0 0.00315 0.009812
36685651.196639 17766692.411028 0.055514 0 0 0.008278 0.010482
34947069.665783 13441169.678057 0.078033 0 0 0.000365 0.0088
17985149.663505 11240683.836107 0.048411 0 0 0.0027 0.014243
22380206.83029 11287944.731158 0.052459 0 0 0.001176 0.010876
32946816.025607 8099290.419864 0.053027 0 0 0.002947 0.008378
26663566.862889 29870436.172812 0.04087 0 0 0.007718 0.005084
27556141.368621 30122187.12045 0.040823 0 0 0.001202 0.004893
46096543.600294 8071883.846831 0.084757 0 0 0.001104 0.016893
21481911.810473 39846754.541241 0.036276 0 0 0.000998 0.004691
22435681.357851 714272.354775 0.06638 0 0 0.001672 0.004392
41061333.724678 10373619.355276 0.096639 0 0 0.000782 0.017919
15936628.095672 7417771.893854 0.048533 0 0 0.001353 0.007342
28607725.632443 1343467.190231 0.076745 0 0 0.00153 0.003995
11952269.035148 8097570.49029 0.049531 0 0 0.000889 0.01019
20526542.259457 6838661.260079 0.042462 0 0 0.002679 0.00485
19524021.409651 10301771.725345 0.068722 0 0 0.003449 0.004151
24022335.19073 661233.336446 0.066991 0 0 0.00173 0.003842
34213533.622447 11495741.082902 0.07772 0 0 0.000417 0.007429
26910445.57957 8861754.531279 0.074443 0 0 0.000471 0.036406
40167189.875408 7859564.809428 0.051163 0 0 0.002053 0.167099
21154903.012984 584735.732744 0.065151 0 0 0.001637 0.004063
23173179.945182 669504.019872 0.066536 0 0 0.001243 0.003249
18931293.772843 9186131.506106 0.074377 0 0 0.000505 0.008801
23219225.253465 12268041.633505 0.080383 0 0 0.00059 0.01648
33954930.948068 8866948.91839 0.045695 0 0 0.001218 0.024126
26965236.092197 7529189.248214 0.042686 0 0 0.001053 0.004688
8477464.230902 5471794.944019 0.078024 0 0 0.005919 0.007654
15888235.066577 7150549.329375 0.05133 0 0 0.002473 0.008405
16917159.087097 39593497.646819 0.04067 0 0 0.001364 0.004984
1795621.216095 6287516.415209 0.106334 0 0 0.0006 0.041917
11743010.337707 9833808.196878 0.181113 0 0 0.002105 0.009602
70263317.082876 39239484.251328 0.189591 0 0 0.006118 0.009319
24648709.177954 11357113.803488 0.06971 0 0 0.004082 0.004587
4808961.750165 6651163.672448 0.075248 0 0 0.00157 0.004466
